Feature,foci_av_emotionSPMfinal_ALE_resliced.nii
alzheimer,0.0065
alzheimer disease,0.0018
ambiguous,0.0149
amnestic,0.0187
amplitude,-0.0192
amplitude low,-0.031
amplitudes,-0.0268
amygdala,0.2375
amygdala anterior,0.0933
amygdala hippocampus,0.2277
amygdala insula,0.11
amygdala response,0.0972
amygdala responses,0.1069
analysed,-0.0118
analyses,0.0776
analytic,0.0015
analyze,-0.0197
analyzed,0.0122
analyzed using,-0.0384
anatomic,-0.0118
anatomical,-0.0164
anatomically,0.0039
anatomy,0.0181
anger,0.1701
angry,0.1259
angular,-0.0305
angular gyrus,-0.021
animal,0.0489
animals,0.0133
anisotropy,-0.1255
anisotropy fa,-0.117
anterior,-0.016
anterior cingulate,-0.0401
anterior inferior,0.0149
anterior insula,0.0027
anterior insular,-0.0231
anterior intraparietal,-0.0355
anterior medial,0.0073
anterior posterior,-0.0154
anterior prefrontal,-0.104
anterior superior,0.1196
anterior temporal,0.1693
anti,0.0213
anticipated,-0.022
anticipation,-0.0257
anticipatory,-0.0073
antidepressant,-0.0309
anxiety,0.0458
anxiety disorders,0.0434
aphasia,0.0166
apparent,0.0354
appear,0.035
appearance,-0.021
appeared,-0.0055
appears,0.0594
application,-0.0362
applied,-0.0672
applying,0.0257
appraisal,-0.0038
approach,0.0142
approaches,-0.0363
appropriate,-0.0411
approximately,-0.0033
architecture,-0.0732
argue,0.0578
arise,0.0446
arising,-0.018
arithmetic,-0.0845
arm,-0.0291
arousal,0.0559
array,-0.0013
arterial,-0.0269
arterial spin,-0.0216
articulatory,0.0114
asd,0.072
asked,-0.0269
aspect,0.0271
aspects,0.0692
assess,-0.0498
assessed,-0.0407
assessed using,-0.0321
assessing,0.0007
assessment,-0.04
assessments,-0.0385
assigned,0.0446
association,-0.061
association cortex,0.0262
associations,0.0054
associative,0.0236
assume,-0.0102
assumed,0.0197
assumption,0.0217
asymmetry,-0.041
atrophy,0.0083
attempt,-0.0477
attempted,-0.057
attend,-0.006
attended,0.0263
attending,0.0189
attention,-0.0154
attention deficit,-0.0432
attention network,-0.038
attention task,-0.0688
attentional,-0.0378
attentional control,-0.0617
attenuated,-0.0006
attenuation,0.0122
attributable,0.0026
attribute,0.0206
attributed,-0.0336
attributes,-0.0327
attribution,0.0675
atypical,0.0178
audio,0.1349
audiovisual,0.2295
auditory,0.1511
auditory cortex,0.1188
auditory cortices,0.0653
auditory stimuli,0.0837
auditory visual,0.1243
autism,0.059
autism spectrum,0.0717
autobiographical,0.111
autobiographical memory,0.0976
automated,-0.0984
automatic,0.0168
automatically,0.0912
autonomic,0.004
available,0.0459
average,-0.0745
aversive,0.0596
avoid,0.016
avoidance,-0.0024
awareness,-0.0087
away,-0.0289
axis,0.0447
ba,-0.0383
ba 10,-0.0141
ba 40,-0.0279
ba 44,-0.0038
ba 47,-0.0069
background,-0.0189
balance,0.0019
band,0.001
basal,-0.0646
basal ganglia,-0.0695
baseline,-0.0113
bases,0.0238
basic,0.0005
basis,-0.0239
battery,-0.0531
bayesian,-0.0035
beginning,-0.0199
behavior,-0.0404
behavioral,-0.011
behavioral measures,-0.0178
behavioral performance,-0.0514
behavioral responses,-0.0124
behaviorally,0.0023
behaviors,0.0049
behaviour,0.0453
behavioural,-0.0119
belief,-0.0082
believed,0.0246
beneficial,-0.0576
benefit,0.018
benefits,-0.0049
best,0.0017
beta,-0.0299
better,-0.0021
better understanding,0.0307
bias,0.0445
biased,-0.0368
biases,0.0186
bilaterally,-0.0257
binding,0.019
biological,0.0813
biomarker,-0.0068
bipolar,-0.0241
bipolar disorder,-0.0301
blind,-0.0264
block,0.0257
block design,0.0563
blocked,-0.0011
blocks,0.0391
blood,0.01
blood flow,-0.0441
blood oxygen,0.0063
blood oxygenation,0.0524
bodily,0.0209
body,-0.0251
bold,0.0501
bold response,0.0035
bold responses,0.0393
bold signal,0.0524
bold signals,-0.0363
brains,-0.0193
brainstem,0.0289
brief,0.0296
broad,-0.0005
broader,-0.0217
broca,-0.0165
brodmann,-0.0356
brodmann ba,-0.0117
button,-0.043
calculated,-0.0139
calculation,-0.1137
called,0.0337
callosum,-0.0922
canonical,-0.0062
capable,-0.0164
capacity,-0.0102
capsule,-0.0851
capture,-0.0065
carried,-0.002
carriers,-0.0283
case,0.0004
cases,-0.0794
categorical,-0.0045
categories,0.1121
categorization,0.0307
category,0.0662
caudal,-0.0452
caudate,-0.0641
caudate nucleus,-0.0518
causal,-0.0165
causal modeling,0.0106
causality,0.014
cause,-0.0083
caused,-0.0324
causes,-0.0055
center,-0.0135
centered,0.0002
central,-0.0567
central role,0.0052
cerebellar,-0.0916
cerebellum,-0.0771
cerebral,-0.0627
cerebral blood,-0.0536
cerebral cortex,-0.0422
certain,0.0396
challenge,0.0432
challenges,-0.0321
challenging,0.0276
change,-0.0133
changed,0.0188
changing,0.0438
character,-0.0232
characteristic,-0.0352
characteristics,-0.0595
characterization,-0.0207
characterize,-0.0136
characterized,0.0175
characters,-0.0172
childhood,0.0121
children,-0.025
children adolescents,-0.0165
chinese,-0.0396
choice,-0.0721
choices,-0.0399
chosen,-0.0197
chronic,-0.0509
chronic pain,-0.0312
cingulate,-0.0482
cingulate cortex,-0.0511
cingulate cortices,-0.0192
cingulate gyrus,-0.0209
cingulate precuneus,-0.0355
cingulum,-0.1024
circuit,-0.0206
circuitry,0.021
circuits,-0.0348
clarify,-0.0247
class,-0.0083
classic,0.0517
classical,0.061
classification,0.0426
classified,0.0127
clear,0.0692
clearly,0.0793
clinical,-0.0619
clinically,-0.0226
clips,0.0955
close,-0.0058
closed,-0.0367
closely,0.0346
cluster,-0.0533
clusters,-0.0164
code,0.073
coding,0.0289
cognition,-0.0036
cognitive,-0.1012
cognitive control,-0.1122
cognitive deficits,-0.0199
cognitive emotional,-0.0097
cognitive function,-0.0534
cognitive functions,-0.0942
cognitive impairment,0.0211
cognitive performance,-0.0498
cognitive processes,-0.0069
cognitive task,-0.0223
cognitive tasks,-0.0593
cognitively,-0.033
coherence,0.0207
coherent,-0.0043
cohort,-0.021
collected,-0.0175
color,-0.0721
combination,-0.0257
combinations,0.0278
combined,0.0447
combining,0.0362
common,0.0059
commonly,0.0659
communication,0.1454
community,-0.0475
comparable,0.0222
compare,-0.0184
comparing,0.0207
comparisons,-0.0489
compatible,-0.0408
compensate,-0.0082
compensation,-0.0208
compensatory,-0.0077
competing,-0.0698
competition,0.0007
complementary,-0.0105
complete,-0.0519
completed,-0.0068
completely,-0.0209
complex,0.0592
complexity,0.0013
component,-0.0114
component ica,0.0134
components,0.0068
comprehension,0.0859
comprehensive,-0.0006
comprised,0.0182
compromised,-0.0096
compulsive,-0.0854
compulsive disorder,-0.0794
computational,-0.0068
computed,-0.064
concentration,-0.0183
concept,-0.0483
concepts,0.0334
conceptual,0.0783
concerning,0.029
conclude,-0.0002
concluded,-0.0143
conclusion,0.0053
concomitant,-0.0227
concrete,0.0543
concurrent,-0.0245
concurrently,-0.0015
condition,0.0153
conditioned,0.0106
conditioning,-0.0035
conditions,0.0465
conductance,0.0449
conducted,0.0419
confirm,0.0334
confirmed,0.0256
conflict,-0.107
conflicting,-0.0192
confounding,-0.0247
congruency,-0.0026
congruent,0.0787
congruent incongruent,0.045
conjunction,-0.0065
connected,0.0154
connecting,-0.0332
connection,-0.0394
connections,0.0106
connectivity,0.0054
connectivity analyses,0.0389
connectivity fc,-0.0176
connectivity networks,0.0097
connectivity patterns,-0.0156
connectivity posterior,0.0209
conscious,0.0572
consecutive,-0.006
consequence,-0.0322
consequences,-0.0221
consequently,0.0611
consider,-0.0096
considerable,0.0206
considered,-0.0216
considering,-0.0019
consisted,0.0104
consistency,0.017
consistently,0.0052
consisting,-0.0051
consists,0.0004
consolidation,0.0525
constant,0.0123
constitute,-0.0035
constrained,0.0086
constraints,0.0092
construct,0.0063
constructed,-0.0191
contain,-0.0087
contained,0.0118
containing,0.0454
contains,-0.0147
content,0.1487
contents,0.0473
context,0.052
contexts,0.005
contextual,0.0479
continuous,-0.0185
continuously,0.0432
contralateral,-0.0835
contralateral primary,-0.0552
contrary,0.0282
contrast,0.0196
contrasted,-0.014
contrasting,-0.0053
contrasts,0.0265
contribute,-0.01
contributed,-0.0151
contributes,0.0264
contributing,-0.037
contribution,-0.0022
contributions,-0.0277
control,-0.1198
control condition,0.0048
control conditions,-0.0231
control group,-0.0032
control groups,0.0049
control network,-0.0601
control processes,-0.0991
control task,-0.0384
controlled,0.0035
controlling,-0.0304
controls,-0.0742
controls hc,0.0402
controls using,-0.0217
controversial,-0.0145
conventional,-0.0075
convergence,0.0575
converging,0.0076
conversely,-0.0001
conveyed,0.1006
coordinate,0.0021
coordinates,-0.0268
coordination,-0.0446
core,0.0702
corpus,-0.0958
corpus callosum,-0.0922
correct,-0.0545
corrected,-0.0354
correction,-0.0322
correctly,0.0438
correlate,-0.0003
correlated,-0.0456
correlated negatively,-0.0157
correlated positively,-0.0163
correlates,-0.0371
correlation,-0.0799
correlations,-0.0609
correspond,-0.0235
corresponded,-0.0044
correspondence,0.0437
corresponding,-0.0197
cortex,-0.0719
cortex acc,-0.0454
cortex amygdala,0.0734
cortex anterior,-0.0435
cortex ba,-0.0314
cortex bilaterally,-0.0397
cortex cerebellum,-0.0317
cortex contrast,0.0039
cortex dacc,-0.0212
cortex dlpfc,-0.108
cortex dorsal,-0.0733
cortex frontal,0.0017
cortex greater,0.0139
cortex inferior,0.0097
cortex insula,0.0033
cortex involved,-0.0402
cortex lateral,-0.0149
cortex m1,-0.0529
cortex medial,-0.0303
cortex middle,-0.0056
cortex mpfc,0.0457
cortex ofc,0.0506
cortex parietal,-0.0279
cortex pcc,-0.0092
cortex pfc,-0.0468
cortex posterior,0.0098
cortex ppc,-0.0506
cortex precuneus,0.0058
cortex suggest,0.0652
cortex superior,0.0546
cortex supplementary,-0.0449
cortex thalamus,-0.0215
cortex ventral,0.001
cortex vlpfc,0.0125
cortex vmpfc,-0.0156
cortical,-0.0978
cortical involved,-0.0205
cortical motor,-0.0437
cortical network,-0.0051
cortical networks,-0.0471
cortical subcortical,-0.02
cortical thickness,-0.0664
cortices,0.0038
cortico,-0.0458
corticospinal,-0.0783
coupled,-0.0037
coupling,-0.0081
course,-0.0055
courses,-0.0056
covariance,-0.0063
covaried,-0.0281
covert,0.0058
created,0.0131
criteria,-0.0149
critical,-0.0371
critical role,-0.0464
critically,-0.0011
cross,0.0188
cross modal,0.0559
cross sectional,-0.0111
crossover,-0.021
crucial,0.047
crucial role,-0.0292
crucially,0.0327
crus,-0.0915
cue,-0.034
cued,-0.0439
cues,0.0802
cuneus,-0.0145
current,-0.0066
current functional,0.0105
currently,-0.0057
cycle,0.0078
dacc,-0.0326
daily,0.0033
damage,-0.0229
date,0.1177
day,-0.001
days,-0.022
deactivated,0.0272
deactivation,0.0244
deactivations,-0.0221
deaf,0.0282
debate,0.0251
debated,0.0222
decision,-0.0727
decision making,-0.0958
decision task,-0.0048
decisions,-0.0809
decline,-0.0346
decoding,0.0362
decreases,-0.0161
decreasing,-0.0201
deep,-0.0117
default,0.0009
default mode,-0.0111
default network,0.011
deficient,-0.0372
deficit,-0.0206
deficit hyperactivity,-0.035
deficits,0.0165
define,-0.0347
defined,0.029
degeneration,-0.0516
degree,0.0373
degrees,-0.0075
delay,-0.0722
delayed,-0.0109
delineate,0.0156
delivered,-0.0451
demand,-0.0314
demanding,-0.0121
demands,-0.0581
dementia,0.0306
demonstrate,0.0086
demonstrated,-0.0309
demonstrates,-0.0109
demonstrating,-0.0305
density,-0.0784
depend,0.0082
depended,0.0399
dependence,-0.0247
depending,0.0528
depends,0.0327
depicting,0.0659
depressed,-0.0095
depression,0.0179
depressive,0.0026
depressive disorder,0.0086
deprivation,-0.0107
depth,-0.0237
derived,-0.0378
described,-0.0041
design,0.0383
designed,-0.009
designs,-0.0205
despite,-0.0216
detailed,-0.0719
details,0.0426
detect,-0.0378
detected,-0.0239
detecting,0.02
detection,-0.0113
detection task,-0.0202
determine,0.0105
determined,-0.0513
determining,-0.0116
develop,-0.0357
developed,-0.035
developing,-0.0061
development,-0.0106
developmental,-0.032
diagnosed,0.0065
diagnosis,0.0297
diagnostic,-0.0077
did,-0.0231
did differ,-0.0539
differ,-0.0232
differed,0.0264
difference,-0.0597
differential,0.0205
differentially,-0.0054
differentiate,0.0152
differentiated,0.0284
differentiation,0.0078
differently,-0.0097
differing,0.0176
differs,-0.0609
difficult,-0.0009
difficulties,0.014
difficulty,-0.0254
diffuse,-0.0275
diffusion,-0.1054
diffusion tensor,-0.1083
diffusivity,-0.0836
digit,-0.0976
dimension,-0.0104
dimensional,-0.0505
dimensions,0.0206
diminished,0.061
direct,0.0527
direct evidence,0.035
directed,0.0231
direction,0.0238
directions,0.0027
directly,-0.0443
disability,-0.0478
discrete,0.0005
discriminate,-0.0218
discriminated,0.0276
discriminating,-0.0285
discrimination,0.0421
discrimination task,0.018
discuss,-0.0399
discussed,0.0009
disease,-0.0757
disease ad,0.0181
disease pd,-0.066
diseases,0.0268
disgust,0.1208
disorder,-0.05
disorder adhd,-0.0536
disorder mdd,0.0081
disorder ocd,-0.0594
disorder ptsd,0.0313
disorders,0.0546
display,-0.0237
displayed,0.0155
displays,0.0784
disrupted,-0.0239
disruption,-0.0517
dissociable,-0.03
dissociate,-0.0091
dissociated,0.0336
dissociation,0.0316
dissociations,0.0284
distance,0.0068
distinction,0.0262
distinguish,-0.0537
distinguished,0.0085
distraction,-0.0077
distractors,-0.0005
distributed,0.0392
distributed network,0.0122
distribution,0.005
disturbances,0.0339
diverse,-0.0096
divided,-0.0571
dlpfc,-0.1047
dmn,0.0007
dmpfc,0.0226
documented,-0.0239
does,-0.0138
domain,-0.0067
domains,0.0126
dominance,0.0183
dominant,0.0085
dopamine,-0.0431
dopaminergic,0.0146
dorsal,-0.0808
dorsal anterior,-0.0596
dorsal medial,0.0017
dorsal premotor,-0.0556
dorsal striatum,-0.005
dorsal ventral,-0.0224
dorsolateral,-0.1371
dorsolateral prefrontal,-0.134
dorsomedial,0.0436
dorsomedial prefrontal,0.0588
dose,-0.0332
dot,-0.0272
double,-0.0446
double blind,-0.0485
double dissociation,-0.001
drive,-0.0086
driven,-0.0018
driving,-0.0156
drug,-0.0515
drugs,-0.043
dsm,-0.0661
dsm iv,-0.069
dti,-0.0902
dual,-0.0269
duration,-0.0225
dynamic,0.1111
dynamic causal,-0.0133
dynamically,0.0643
dynamics,0.0501
dysfunction,-0.0312
dysfunctional,0.0355
dysfunctions,0.014
dyslexia,-0.0021
dysregulation,0.0825
earlier,-0.0206
early,-0.0043
early stage,-0.0201
early visual,-0.0067
easy,-0.0488
eating,0.0241
echo,-0.0475
education,-0.0804
eeg,-0.0232
effect,0.0129
effective,-0.0133
effective connectivity,0.0132
effectively,-0.0613
effects,0.0234
efficacy,-0.0118
efficiency,-0.0538
efficient,0.0196
effort,-0.0192
eighteen,-0.009
elderly,-0.0145
electrical,-0.0343
electroencephalography,-0.0314
electroencephalography eeg,-0.0257
electrophysiological,-0.0222
elements,-0.0404
elevated,0.0646
elicit,0.0592
elicited,0.102
elicits,0.0459
elucidate,0.0173
elucidated,0.0474
embedded,0.0187
emerge,0.0382
emerged,0.0099
emerging,-0.0017
emission,-0.0101
emission tomography,-0.0066
emotion,0.2292
emotion regulation,0.0389
emotional,0.2229
emotional faces,0.1524
emotional information,0.1271
emotional neutral,0.1422
emotional responses,0.065
emotional stimuli,0.119
emotional valence,0.129
emotionally,0.2003
emotions,0.2311
empathic,0.0643
empathy,0.1511
emphasize,0.0208
empirical,0.0192
employed,-0.0199
employing,0.0341
enable,-0.0147
enabled,-0.0506
enables,0.0171
encode,0.001
encoded,-0.0011
encoding,0.0658
encoding retrieval,0.0725
encompassing,0.0432
end,-0.0601
endogenous,-0.0397
engage,0.055
engaged,0.0533
engagement,0.0194
engages,0.043
engaging,0.0025
english,0.0034
enhance,0.0834
enhancement,0.0786
enhances,0.0695
entire,-0.035
environment,0.0563
environmental,0.0494
environments,0.0254
epilepsy,0.0229
episode,-0.0456
episodes,-0.001
episodic,0.0578
episodic memory,0.0546
equal,-0.0406
equally,0.0603
equation,0.0074
equivalent,-0.0083
erp,0.0362
erps,-0.0025
error,-0.057
errors,-0.0454
especially,-0.033
essential,0.0349
establish,-0.0296
established,-0.0233
estimate,-0.0629
estimated,-0.0818
estimates,-0.0349
estimation,0.0196
et,-0.0223
et al,-0.0227
evaluate,-0.026
evaluated,-0.0264
evaluating,0.0266
evaluation,0.0276
evaluations,-0.0393
event,0.0235
event design,-0.0101
event functional,-0.0112
event potential,0.0416
event potentials,0.0012
events,0.0448
everyday,0.0528
everyday life,0.0392
evidence,0.0068
evidence suggests,0.0647
evidenced,0.0152
evident,0.0312
evoke,0.0761
evoked,0.0405
evolution,0.0187
exact,-0.0596
examination,-0.0198
examining,0.0148
example,0.0483
excessive,-0.0425
exclusively,0.0275
executed,-0.0326
execution,-0.0411
executive,-0.1304
executive control,-0.0636
executive function,-0.0319
executive functions,-0.056
exhibit,0.019
exhibited,0.0452
exhibited greater,0.0383
exhibiting,0.0171
exist,-0.0115
existence,0.0207
existing,-0.0345
exists,-0.0042
expectancy,0.0059
expectation,-0.0052
expectations,-0.0042
expected,-0.0323
experience,0.0537
experienced,0.0351
experiences,0.0865
experiencing,0.003
experiment,0.0282
experimental,-0.006
experimental conditions,0.0061
experimentally,0.0057
experiments,0.0138
expertise,0.0278
explain,-0.0054
explained,0.0197
explanation,-0.0308
explicit,0.0315
explicitly,-0.0209
exploration,-0.033
exploratory,-0.0362
explore,0.0125
explored,0.0439
exploring,0.0474
exposed,0.0252
exposure,0.0341
expressed,0.1578
expression,0.1859
expressions,0.2343
extend,-0.0177
extended,0.0772
extending,0.02
extends,0.0388
extension,-0.0289
extensive,0.0355
extensively,0.0175
extent,0.0334
external,-0.0187
externally,-0.0656
extra,0.0048
extract,0.0215
extracted,0.0315
extraction,0.0234
extrastriate,0.0399
extrastriate cortex,-0.0247
extrastriate visual,0.0105
eye,0.0054
eye field,-0.0511
eye fields,-0.0593
eye movements,-0.0016
eyes,0.0448
fa,-0.1089
face,0.2194
face ffa,0.121
face recognition,0.09
face stimuli,0.0889
faces,0.2199
facial,0.272
facial expression,0.2217
facial expressions,0.2165
facilitate,0.0103
facilitates,0.0221
facilitation,0.0125
fact,-0.0419
factor,0.009
factorial,0.0375
factorial design,0.0349
factors,0.0245
failed,0.009
failure,-0.0531
false,0.019
familiar,0.0668
familiarity,0.0047
family,-0.0098
far,0.0358
fasciculus,-0.079
fashion,0.019
fast,-0.0256
faster,0.0067
fc,-0.0115
fear,0.1619
fearful,0.1977
fearful faces,0.1214
feature,-0.025
features,-0.0026
feedback,-0.022
feeling,0.0443
feelings,0.134
female,0.0104
females,0.0266
ffa,0.1348
fiber,-0.048
fibers,-0.0512
field,-0.0781
fields,-0.0507
final,-0.0039
finally,0.0262
fine,-0.0152
finger,-0.0686
finger movements,-0.0764
fixation,0.0142
fixed,-0.0165
flexible,-0.0237
flow,-0.0445
fluctuations,0.0028
fluency,-0.0409
fluid,-0.0442
focal,-0.0291
foci,-0.0468
focus,-0.0003
focused,0.0315
focusing,0.0317
follow,-0.016
followed,0.0272
following,-0.0255
food,0.0099
foot,-0.0813
force,-0.0377
form,0.037
formation,0.0997
formed,-0.0114
forming,-0.0141
forms,0.0258
forward,-0.024
fourteen,0.0218
fractional,-0.1263
fractional anisotropy,-0.1265
framework,0.0189
free,-0.0271
frequencies,-0.0433
frequency,-0.0393
frequent,0.0091
frequently,-0.0088
frontal,-0.0502
frontal cortex,-0.0088
frontal cortices,0.0508
frontal eye,-0.0514
frontal gyri,-0.0058
frontal gyrus,0.0113
frontal lobe,-0.0616
frontal lobes,-0.0312
frontal operculum,-0.0034
frontal parietal,-0.1089
frontal temporal,0.0246
fronto,-0.0646
fronto parietal,-0.0533
fronto striatal,-0.0405
fronto temporal,0.0734
frontoparietal,-0.035
frontoparietal network,-0.0468
frontopolar,-0.0211
frontostriatal,-0.0543
frontotemporal,0.0523
fully,0.0057
function,-0.0571
functional abnormalities,-0.0123
functional connectivity,-0.0193
functional coupling,-0.0255
functional magnetic,0.0498
functional network,-0.0115
functional networks,0.0031
functional neuroanatomy,0.0139
functional organization,0.0367
functional role,0.0263
functional structural,0.0355
functionally,0.0033
functionally connected,-0.0168
functioning,-0.0011
functions,-0.075
fundamental,-0.0052
furthermore,0.0431
fusiform,0.1258
fusiform face,0.1247
fusiform gyri,0.0466
fusiform gyrus,0.1221
future,-0.0354
gain,-0.0469
gains,-0.0566
game,-0.0561
gamma,-0.0559
ganglia,-0.0687
gaze,0.083
gender,0.0149
gene,-0.0554
general,-0.01
general linear,-0.0379
generalized,-0.0597
generally,-0.0106
generate,-0.0625
generated,-0.0534
generating,-0.026
generation,-0.0168
generators,-0.0017
genes,-0.0565
genetic,-0.0729
genetic risk,-0.0481
genotype,-0.0069
german,-0.019
gestures,0.0921
given,0.0166
global,-0.0324
globus,-0.0102
globus pallidus,-0.0092
glucose,0.0052
gm,-0.0488
gm volume,-0.0575
goal,-0.0215
goal directed,0.0104
goals,-0.0497
good,-0.0378
gradient,0.0025
grasping,-0.0248
gray,-0.0477
gray matter,-0.0692
gray white,-0.06
greater,0.0632
greatest,0.0566
grey,-0.0514
grey matter,-0.062
group,-0.0623
group level,-0.0501
groups,-0.0218
growing,0.0169
guide,0.0046
guided,-0.0466
gyri,0.074
gyrus,0.096
gyrus anterior,0.0005
gyrus ba,0.0153
gyrus cerebellum,-0.0524
gyrus fusiform,0.0687
gyrus ifg,0.0674
gyrus inferior,-0.0137
gyrus insula,0.0172
gyrus medial,0.0038
gyrus middle,0.0173
gyrus posterior,0.0214
gyrus precuneus,-0.0027
gyrus stg,0.1059
gyrus superior,0.0098
half,0.0411
hallucinations,0.0573
hand,-0.0738
hand movements,-0.0161
handed,-0.0311
handedness,-0.0628
hands,-0.0192
happy,0.1624
having,-0.0107
hc,0.0294
head,0.0255
health,-0.0045
healthy,-0.0464
healthy adults,0.0246
healthy control,0.0092
healthy controls,-0.0639
healthy handed,-0.0221
healthy human,-0.0621
healthy individuals,0.0174
healthy male,0.0345
healthy volunteers,-0.0501
healthy young,-0.0205
heard,0.1266
hearing,0.0429
heart,0.0358
heat,-0.0509
heightened,0.0571
held,-0.0372
help,-0.0562
hemisphere,-0.0395
hemispheres,-0.0677
hemispheric,-0.0202
hemodynamic,0.0491
hemodynamic response,0.0236
hemodynamic responses,0.0496
heschl,0.0687
heschl gyrus,0.0737
heterogeneity,-0.0415
heterogeneous,-0.0006
hierarchical,0.0516
high,-0.0366
high frequency,-0.0253
high functioning,-0.0131
high level,-0.053
high low,0.0141
high resolution,-0.0279
high risk,-0.0284
higher,-0.0823
higher level,0.022
higher order,0.0066
highest,-0.0339
highlight,0.0544
highlighted,0.011
highly,0.0055
hippocampal,0.1049
hippocampus,0.1688
history,-0.0291
hoc,-0.0521
homogeneity,-0.0561
homogeneity reho,-0.0692
human,0.0715
humans,-0.0063
hyperactivation,0.0394
hyperactivity,-0.0225
hyperactivity disorder,-0.031
hypoactivation,0.0636
hypothalamus,0.0761
hypotheses,-0.0396
hypothesize,0.0104
hypothesized,-0.0009
hz,-0.0638
ica,0.0005
idea,0.0321
identical,-0.052
identification,0.0801
identified,-0.0026
identify,-0.0093
identifying,0.0189
identity,0.1144
ifg,0.0486
ii,-0.0076
iii,0.0203
illness,-0.0175
illustrate,-0.0024
image,-0.0012
imagery,-0.0747
images,-0.0215
images acquired,-0.0041
imagine,-0.0041
imagined,-0.0624
imitation,-0.0162
immediate,0.0175
immediately,-0.0129
impact,0.0525
impaired,-0.0337
impairment,-0.0384
impairment mci,0.0181
impairments,0.0006
implementation,-0.059
implemented,0.0266
implicate,-0.0321
implicated,0.0495
implications,-0.0201
implicit,0.015
imply,-0.0249
importance,0.0686
important,0.0329
important role,0.0197
importantly,-0.0005
improve,-0.0549
improved,-0.0302
improvement,-0.0051
improvements,-0.0405
improves,-0.0087
impulsivity,-0.0263
incentive,-0.0046
include,0.0021
included,0.042
includes,0.0246
incongruent,0.0443
inconsistent,-0.0214
incorrect,-0.026
increases,-0.0486
increasing,-0.0365
increasingly,0.0206
independent,-0.0053
independent component,0.0107
independently,0.0124
index,-0.0904
index finger,-0.0554
indexed,0.0351
indicate,0.0205
indicated,0.0393
indicates,0.0203
indicating,0.0193
indices,-0.0047
indirect,0.0541
individual,-0.0135
individually,-0.0387
individuals,0.009
induce,-0.0251
induced,-0.0187
induces,-0.0018
inducing,0.0644
induction,0.0383
infer,0.0771
inference,0.0081
inferences,0.0356
inferior,-0.011
inferior frontal,0.0542
inferior middle,0.0101
inferior occipital,0.0674
inferior parietal,-0.0861
inferior prefrontal,-0.0398
inferior superior,-0.0674
inferior temporal,0.0455
influence,0.0416
influenced,-0.0247
